('nakf', [[52, 15, 0, 31], [35, 65]])
('frm', [[44, 22, 2, 30], [41, 58]])
('frq', [[45, 10, 15, 30], [23, 76]])
('mHzw', [[16, 41, 0, 41], [23, 76]])
('lk_m', [[9, 44, 1, 44], [11, 88]])
('tkkWr', [[25, 58, 16, 0], [41, 58]])
('wad_r', [[13, 57, 8, 20], [28, 71]])
('Crq', [[30, 38, 0, 30], [6, 93]])
('hnds', [[39, 50, 0, 10], [46, 53]])
('Crt', [[13, 46, 33, 6], [13, 86]])
('!mtt', [[0, 90, 9, 0], [36, 63]])
('slT', [[21, 47, 12, 18], [36, 63]])
('wfry', [[30, 0, 69, 0], [7, 92]])
('fs_h', [[21, 35, 0, 42], [21, 78]])
('kWbll', [[18, 31, 0, 50], [18, 81]])
('hndd', [[21, 47, 5, 26], [25, 75]])
('wad_d', [[27, 32, 0, 40], [37, 62]])
('nayy', [[14, 42, 35, 7], [27, 72]])
('gag_y', [[37, 37, 10, 13], [22, 77]])
('gag_w', [[0, 0, 0, 100], [36, 63]])
('gll', [[0, 60, 0, 40], [40, 60]])
('gnH', [[24, 56, 0, 20], [20, 79]])
('mwgWs', [[44, 16, 16, 22], [11, 88]])
('lq_b', [[15, 46, 7, 30], [15, 84]])
('gnz', [[30, 20, 10, 40], [10, 90]])
('slw', [[30, 0, 10, 60], [0, 100]])
('nt_y', [[10, 68, 19, 2], [23, 76]])
('Sy_q', [[20, 73, 6, 0], [40, 60]])
('slk', [[33, 25, 8, 33], [8, 91]])
('wfr', [[38, 36, 3, 21], [38, 61]])
('CrH', [[47, 23, 5, 23], [31, 68]])
('sl`', [[36, 10, 10, 42], [26, 73]])
('slb', [[41, 29, 8, 20], [26, 73]])
('qy_d', [[11, 73, 11, 2], [45, 54]])
('kWrmy', [[8, 66, 0, 25], [6, 93]])
('qy_s', [[30, 52, 13, 4], [56, 43]])
('glf', [[58, 11, 0, 29], [42, 57]])
('rd!y', [[50, 42, 7, 0], [30, 70]])
('tzm', [[66, 0, 11, 22], [38, 61]])
('nd_!', [[0, 76, 0, 23], [35, 64]])
('qy_y', [[0, 100, 0, 0], [50, 50]])
('dhl', [[27, 48, 3, 21], [33, 66]])
('dhk', [[53, 26, 0, 20], [33, 66]])
('wag_y', [[23, 53, 23, 0], [25, 75]])
('gly', [[47, 5, 41, 5], [9, 90]])
('dhb', [[37, 30, 15, 17], [23, 76]])
('lqm', [[41, 41, 0, 17], [17, 82]])
('drj', [[78, 0, 21, 0], [7, 92]])
('dhy', [[51, 40, 5, 2], [12, 87]])
('qjl', [[14, 71, 0, 14], [50, 50]])
('mr_`', [[23, 38, 30, 7], [0, 100]])
('gWHl', [[75, 0, 0, 25], [0, 100]])
('gWHf', [[27, 50, 8, 13], [34, 65]])
('Cdr', [[60, 13, 6, 20], [18, 81]])
('mHdg', [[61, 15, 0, 23], [46, 53]])
('wag_!', [[8, 83, 8, 0], [23, 76]])
('fw_s', [[10, 57, 18, 13], [23, 76]])
('fw_y', [[5, 70, 25, 0], [22, 77]])
('qb_r', [[19, 39, 19, 21], [38, 61]])
('kaly', [[11, 52, 35, 0], [16, 83]])
('raq_q', [[86, 0, 0, 13], [47, 52]])
('tbgs', [[20, 60, 10, 10], [18, 81]])
('bny', [[36, 50, 9, 4], [29, 70]])
('!fnC', [[0, 0, 100, 0], [0, 100]])
('Cw_w', [[0, 0, 0, 100], [50, 50]])
('Tqll', [[24, 41, 2, 31], [32, 67]])
('qb_S', [[38, 14, 14, 33], [18, 81]])
('!sfr', [[17, 0, 10, 72], [0, 100]])
('bnn', [[25, 50, 6, 18], [35, 64]])
('kal!', [[15, 7, 69, 7], [0, 100]])
('`mSS', [[0, 84, 0, 15], [15, 84]])
('gWtt', [[18, 44, 6, 30], [23, 76]])
('gWty', [[42, 28, 7, 21], [14, 85]])
('Trz', [[30, 38, 0, 30], [35, 64]])
('qs_n', [[50, 0, 8, 41], [11, 88]])
('qs_b', [[26, 38, 3, 30], [42, 57]])
('gadl', [[46, 36, 2, 14], [39, 60]])
('jyw', [[45, 0, 54, 0], [0, 100]])
('gady', [[7, 84, 7, 0], [10, 89]])
('kWl_w', [[12, 50, 6, 31], [12, 87]])
('gadw', [[0, 0, 10, 90], [66, 33]])
('lflf', [[23, 52, 5, 17], [22, 77]])
('kf!y', [[78, 13, 8, 0], [51, 48]])
('dldl', [[32, 39, 2, 25], [32, 67]])
('wwy', [[0, 36, 63, 0], [8, 91]])
('lab_`', [[26, 46, 6, 20], [37, 62]])
('`lw', [[36, 26, 5, 31], [26, 73]])
('dldy', [[11, 27, 61, 0], [7, 92]])
('gWndb', [[0, 72, 0, 27], [30, 69]])
('lab_y', [[54, 45, 0, 0], [0, 100]])
('gaT_m', [[14, 64, 0, 21], [42, 57]])
('sr`y', [[16, 83, 0, 0], [33, 66]])
('Saff', [[28, 23, 0, 47], [25, 75]])
('gWb!', [[33, 13, 13, 40], [26, 73]])
('brbr', [[19, 38, 14, 28], [14, 85]])
('bahy', [[6, 6, 86, 0], [6, 93]])
('fntt', [[42, 31, 0, 26], [31, 68]])
('hss', [[34, 59, 0, 6], [41, 58]])
('bahg', [[0, 0, 100, 0], [0, 100]])
('hsw', [[0, 4, 0, 95], [41, 58]])
('kWHkWH', [[26, 56, 0, 17], [17, 82]])
('faTT', [[20, 10, 10, 60], [7, 92]])
('hsy', [[15, 71, 0, 12], [33, 66]])
('bahl', [[0, 12, 81, 6], [5, 95]])
('`zm', [[33, 16, 0, 50], [25, 75]])
('sfn', [[35, 21, 0, 42], [28, 71]])
('mWggWs', [[54, 27, 18, 0], [18, 81]])
('`r_q', [[42, 21, 0, 35], [33, 66]])
('gWby', [[80, 10, 10, 0], [0, 100]])
('gWbz', [[58, 0, 29, 11], [11, 88]])
('`zz', [[26, 60, 0, 13], [37, 62]])
('rak_b', [[10, 90, 0, 0], [18, 81]])
('`zr', [[56, 18, 0, 25], [15, 85]])
('mn_C', [[0, 95, 5, 0], [47, 52]])
('ma!z', [[30, 20, 50, 0], [9, 90]])
('xyy', [[36, 45, 18, 0], [9, 90]])
('batk', [[23, 52, 0, 23], [38, 61]])
('mbb', [[23, 30, 15, 30], [15, 84]])
('hzby', [[0, 90, 9, 0], [18, 81]])
('war_s', [[18, 36, 27, 18], [26, 73]])
('ml!y', [[30, 60, 5, 5], [20, 80]])
('xyn', [[18, 54, 18, 9], [15, 84]])
('gwtt', [[35, 0, 5, 60], [9, 90]])
('salT', [[10, 56, 6, 26], [38, 61]])
('lay_y', [[8, 25, 58, 8], [0, 100]])
('kab_!', [[18, 0, 27, 54], [0, 100]])
('mrHy', [[32, 64, 4, 0], [22, 77]])
('dnq', [[16, 62, 2, 18], [37, 62]])
