('frs', [[35, 38, 2, 23], [39, 60]])
('fry', [[28, 57, 9, 4], [41, 58]])
('frd', [[28, 43, 11, 16], [30, 69]])
('fss', [[38, 42, 3, 14], [47, 52]])
('fxl', [[40, 33, 1, 24], [36, 63]])
('fqr', [[19, 61, 4, 14], [46, 53]])
('fqd', [[32, 48, 7, 11], [41, 58]])
('ftH', [[26, 52, 4, 16], [19, 80]])
('ftw', [[15, 65, 3, 15], [44, 55]])
('ft_n', [[32, 43, 8, 15], [43, 56]])
('fn_w', [[36, 46, 2, 14], [38, 61]])
('fk_r', [[52, 36, 5, 5], [26, 73]])
('fkWs', [[33, 50, 8, 8], [35, 64]])
('fdy', [[18, 72, 4, 4], [28, 71]])
('fTr', [[38, 43, 4, 14], [43, 56]])
('fS_m', [[38, 45, 3, 12], [50, 50]])
