trff	0110000
rms	0110010
tbt	1010000
tbtb	0110000	1000100	0110100
tb'	1010000
tc*	1101000
nby*	1100000
tntn	1001000
tnn	1010000
tnkWl	1000100
tnkWs	1000100
tnfs	1001000
tN'	1001000
tktk	0110000
tkn	1000010
tk'	1100000
tkWs	1111000
tkWr	1110000
tw	1100000
tgtg	1110000
tg'	1010000
tf'	1101000
'll	0110000
t't'	0000010
'kt	1010000
'ws	1001000
'zb	1001010
tgl	1010000
'gs	1001000
'Tq	1001000
tWstWs	0110000
cmcm	1100000
crr	0000100
crcf	0100000
crff	1110000
cbcb	1100000
cnkr	1100000
cyk	1010000
ckl	1100000
ckck	1100000	0110000	0010000
ckWl	1001100
cgr	1101000
cfrr	0110000
c'l	1001010
c'c'	0100010
nhWll	1000010
nsr	1011000
nsns	1100000
ns'	1111010
nrnr	0010000
nql	1000100
nqr	0010000
nqx*	0010000
nqnq	1000100
nqz	1010000
nqf	0010000
nq'	1010010
nqWr	0010100
nqWT	0010000
nbrr	1000100
nbrbr	0000100
nbb	0111100
nbnb	0010000
nbz	1110000
ntrk	1000100
nks	1100100
nkr	1100000
nkt	1010000
nk'	1101111
nkWr	1001000
nkWt	1010000
nwr	0011000	1010010
nwT	0000100
nzr	1010000
nznz	1000100
nzz	0010000	1110000
ndl	1100010
ndd	1010100
ndf	1100100
nd'	1100000
ngs	1010110
ngr	1101110
ngng	0010000
ngd	0001100
ng'	0000100	1010001
ngWl	0010000
ngWr	1010000
ngWt	0111000
ngWd	1010000
ngW'	1010000
nTl	1100010
nTs	0111000
nTr	0000010	1010100
nTq	1100100
